district,pm_id,year,quarter,result
Kitui County,1,2018,2,1
Kitui County,1,2018,4,2
Kitui County,1,2019,2,2
Kitui County,1,2019,4,2
Kitui County,2,2018,2,1
Kitui County,2,2018,4,1
Kitui County,2,2019,2,2
Kitui County,2,2019,4,3
Kitui County,3,2018,2,1
Kitui County,3,2018,4,1
Kitui County,3,2019,2,1
Kitui County,3,2019,4,2
Kitui County,4,2018,2,1
Kitui County,4,2018,4,1
Kitui County,4,2019,2,2
Kitui County,4,2019,4,2
Kitui County,5,2018,2,1
Kitui County,5,2018,4,1
Kitui County,5,2019,2,1
Kitui County,5,2019,4,1
Kitui County,6,2018,2,1
Kitui County,6,2018,4,1
Kitui County,6,2019,2,1
Kitui County,6,2019,4,1
Kitui County,7,2018,2,1
Kitui County,7,2018,4,1
Kitui County,7,2019,2,1
Kitui County,7,2019,4,1
Kitui County,8,2018,2,1
Kitui County,8,2018,4,1
Kitui County,8,2019,2,1
Kitui County,8,2019,4,1
Kitui County,9,2018,2,1
Kitui County,9,2018,4,1
Kitui County,9,2019,2,1
Kitui County,9,2019,4,1
Kabarole Learning Alliance,1,2018,4,2
Kabarole Learning Alliance,1,2019,2,3
Kabarole Learning Alliance,1,2019,4,2
Kabarole Learning Alliance,2,2018,4,2
Kabarole Learning Alliance,2,2019,2,3
Kabarole Learning Alliance,2,2019,4,3
Kabarole Learning Alliance,3,2018,4,2
Kabarole Learning Alliance,3,2019,2,2
Kabarole Learning Alliance,3,2019,4,1
Kabarole Learning Alliance,4,2018,4,2
Kabarole Learning Alliance,4,2019,2,2
Kabarole Learning Alliance,4,2019,4,2
Kabarole Learning Alliance,5,2018,4,1
Kabarole Learning Alliance,5,2019,2,2
Kabarole Learning Alliance,5,2019,4,1
Kabarole Learning Alliance,6,2018,4,1
Kabarole Learning Alliance,6,2019,2,3
Kabarole Learning Alliance,6,2019,4,2
Kabarole Learning Alliance,7,2018,4,2
Kabarole Learning Alliance,7,2019,2,1
Kabarole Learning Alliance,7,2019,4,2
Kabarole Learning Alliance,8,2018,4,1
Kabarole Learning Alliance,8,2019,2,1
Kabarole Learning Alliance,8,2019,4,1
Kabarole Learning Alliance,9,2018,4,2
Kabarole Learning Alliance,9,2019,2,1
Kabarole Learning Alliance,9,2019,4,2
Kabarole Learning Alliance,10,2018,4,
Kabarole Learning Alliance,10,2019,2,2
Kabarole Learning Alliance,10,2019,4,2
Kabarole Learning Alliance,11,2018,4,2
Kabarole Learning Alliance,11,2019,2,1
Kabarole Learning Alliance,11,2019,4,1
Kabarole Learning Alliance,12,2018,4,1
Kabarole Learning Alliance,12,2019,2,2
Kabarole Learning Alliance,12,2019,4,2
Kumi District,1,2018,2,2
Kumi District,1,2018,4,2
Kumi District,1,2019,2,3
Kumi District,1,2019,4,3
Kumi District,2,2018,2,
Kumi District,2,2018,4,1
Kumi District,2,2019,2,1
Kumi District,2,2019,4,1
Kumi District,3,2018,2,2
Kumi District,3,2018,4,2
Kumi District,3,2019,2,2
Kumi District,3,2019,4,2
Kumi District,4,2018,2,3
Kumi District,4,2018,4,2
Kumi District,4,2019,2,2
Kumi District,4,2019,4,2
Kumi District,5,2018,2,2
Kumi District,5,2018,4,2
Kumi District,5,2019,2,3
Kumi District,5,2019,4,3
Kumi District,6,2018,2,2
Kumi District,6,2018,4,2
Kumi District,6,2019,2,2
Kumi District,6,2019,4,2
Kumi District,7,2018,2,3
Kumi District,7,2018,4,2
Kumi District,7,2019,2,2
Kumi District,7,2019,4,2
Kumi District,8,2018,2,2
Kumi District,8,2018,4,2
Kumi District,8,2019,2,3
Kumi District,8,2019,4,3
Kumi District,9,2018,2,1
Kumi District,9,2018,4,1
Kumi District,9,2019,2,1
Kumi District,9,2019,4,1
Kumi District,10,2018,2,1
Kumi District,10,2018,4,2
Kumi District,10,2019,2,2
Kumi District,10,2019,4,2
