district,pm_cat,pm_id,pm_text
Kitui County,Expect to See,1,
Kitui County,Expect to See,2,
Kitui County,Expect to See,3,
Kitui County,Like to See,4,
Kitui County,Like to See,5,
Kitui County,Like to See,6,
Kitui County,Love to See,7,
Kitui County,Love to See,8,
Kitui County,Love to See,9,
Kitui County,Unexpected Changes,10,
Kabarole Learning Alliance,Expect to See,1,
Kabarole Learning Alliance,Expect to See,2,
Kabarole Learning Alliance,Expect to See,3,
Kabarole Learning Alliance,Expect to See,4,
Kabarole Learning Alliance,Like to See,5,
Kabarole Learning Alliance,Like to See,6,
Kabarole Learning Alliance,Like to See,7,
Kabarole Learning Alliance,Like to See,8,
Kabarole Learning Alliance,Love to See,9,
Kabarole Learning Alliance,Love to See,10,
Kabarole Learning Alliance,Love to See,11,
Kabarole Learning Alliance,Love to See,12,
Kumi District,Expect to See,1,
Kumi District,Expect to See,2,
Kumi District,Expect to See,3,
Kumi District,Expect to See,4,
Kumi District,Like to See,5,
Kumi District,Like to See,6,
Kumi District,Like to See,7,
Kumi District,Like to See,8,
Kumi District,Love to See,9,
Kumi District,Love to See,10,
Kumi District,Love to See,11,
Kumi District,Love to See,12,
Kumi District,Unexpected Changes,13,
Nakaseke District,Expect to See,1,
Nakaseke District,Expect to See,2,
Nakaseke District,Expect to See,3,
Nakaseke District,Expect to See,4,
Nakaseke District,Like to See,5,
Nakaseke District,Like to See,6,
Nakaseke District,Like to See,7,
Nakaseke District,Like to See,8,
Nakaseke District,Love to See,9,
Nakaseke District,Love to See,10,
Nakaseke District,Love to See,11,
Nakaseke District,Love to See,12,
Kamuli District,Expect to See,1,
Kamuli District,Expect to See,2,
Kamuli District,Expect to See,3,
Kamuli District,Expect to See,4,
Kamuli District,Like to See,5,
Kamuli District,Like to See,6,
Kamuli District,Like to See,7,
Kamuli District,Like to See,8,
Kamuli District,Love to See,9,
Kamuli District,Love to See,10,
Kamuli District,Love to See,11,
Kamuli District,Love to See,12,
Kamuli District,Unexpected Changes,13,
National,Expect to See,1,
National,Like to See,2,
National,Like to See,3,
National,Love to See,4,
National,Love to See,5,
Mile Learning Alliance,Expect to See,1,
Mile Learning Alliance,Expect to See,2,
Mile Learning Alliance,Expect to See,3,
Mile Learning Alliance,Like to See,4,
Mile Learning Alliance,Like to See,5,
Mile Learning Alliance,Love to See,6,
Mile Learning Alliance,Unexpected Changes,7,
South Ari Learning Alliance,Expect to See,1,
South Ari Learning Alliance,Expect to See,2,
South Ari Learning Alliance,Expect to See,3,
South Ari Learning Alliance,Like to See,4,
South Ari Learning Alliance,Like to See,5,
South Ari Learning Alliance,Love to See,6,
South Ari Learning Alliance,Unexpected Changes,7,
Woliso Learning Alliance,Expect to See,1,
Woliso Learning Alliance,Expect to See,2,
Woliso Learning Alliance,Expect to See,3,
Woliso Learning Alliance,Like to See,4,
Woliso Learning Alliance,Like to See,5,
Woliso Learning Alliance,Like to See,6,
Woliso Learning Alliance,Like to See,7,
Woliso Learning Alliance,Love to See,8,
Woliso Learning Alliance,Love to See,9,
Woliso Learning Alliance,Love to See,10,
Debre Birhan Learning Alliance,Expect to See,1,
Debre Birhan Learning Alliance,Expect to See,2,
Debre Birhan Learning Alliance,Expect to See,3,
Debre Birhan Learning Alliance,Like to See,4,
Debre Birhan Learning Alliance,Like to See,5,
Debre Birhan Learning Alliance,Like to See,6,
Debre Birhan Learning Alliance,Like to See,7,
Debre Birhan Learning Alliance,Love to See,8,
Debre Birhan Learning Alliance,Love to See,9,
Debre Birhan Learning Alliance,Love to See,10,
Debre Birhan Learning Alliance,Unexpected Changes,11,
